year,country,team_size_all,team_size_male,team_size_female,p1,p2,p3,p4,p5,p6,p7,awards_gold,awards_silver,awards_bronze,awards_honorable_mentions,leader,deputy_leader,total_score,average_score_per_contestant,medal_Efficiency,Country Code,Value_gross_enr_ratio_for_tertirary_edu,Value_gov_expen_as_perc_of_GPP,Value_literacy_rate,Region,Income Group,Gov_Investment_Per_Medal,Lit_Performance_Ratio
2017,France,6,6,NA,41,11,0,32,16,0,NA,0,2,2,2,Pierre Bornsztein,Vincent Jugé,100,16.666666666666668,0.6666666666666666,FRA,65.8,5.45,99.65887,Europe & Central Asia,High income: OECD,1.3625,5.9795321999999995
2017,Saudi Arabia,6,4,2,40,17,0,36,7,0,NA,0,2,2,1,Fawzi Al-Thukair,Abdulrahman Alguwaizani,100,16.666666666666668,0.6666666666666666,SAU,72.48,NA,99,Middle East & North Africa,High income: nonOECD,NA,5.9399999999999995
2017,Armenia,6,5,1,41,18,0,38,2,0,NA,0,2,2,1,Tigran Margaryan,Smbat Gogyan,99,16.5,0.6666666666666666,ARM,53.59,2.71,100,Europe & Central Asia,Lower middle income,0.6775,6.0606060606060606
2017,Azerbaijan,6,6,NA,37,19,0,42,0,0,NA,0,0,4,2,Javid Habibov,Fuad Garayev,98,16.333333333333332,0.6666666666666666,AZE,28.47,2.47,100,Europe & Central Asia,Upper middle income,0.6175,6.122448979591837
2017,Mexico,6,6,NA,42,13,0,39,2,0,NA,0,1,2,3,Rogelio Valdez,Jorge Garza Vargas,96,16,0.5,MEX,40.34,4.4,99,NA,NA,1.4666666666666668,6.1875
2017,Bosnia and Herzegovina,6,4,2,41,15,0,39,0,0,NA,0,0,4,2,Harun Hindija,Marko Ćitić,95,15.833333333333334,0.6666666666666666,BIH,46.42,2.84,99.65887,Europe & Central Asia,Upper middle income,0.71,6.294244421052631
2017,Tajikistan,6,6,NA,40,13,0,42,0,0,NA,0,0,3,3,Pirahmad Olimjon,NA,95,15.833333333333334,0.5,TJK,31.11,5.54,98.81,Europe & Central Asia,Low income,1.8466666666666667,6.240631578947369
2017,Macau,6,5,1,39,10,0,36,9,0,NA,1,0,0,5,Lung Yam Wan,Ieng Tak Leong,94,15.666666666666666,0.16666666666666666,NA,NA,NA,NA,NA,NA,NA,NA
2017,New Zealand,6,5,1,42,8,0,42,2,0,NA,0,0,3,3,Michael Albert,Robin Hankin,94,15.666666666666666,0.5,NZL,81.27,5.28,98.64629,East Asia & Pacific,High income: OECD,1.76,6.296571702127659
2017,Cyprus,6,5,1,42,15,0,36,0,0,NA,0,0,5,1,Dimitrios Karantanos,Theoklitos Paragyiou,93,15.5,0.8333333333333334,CYP,75.94,5.7,99.65887,Europe & Central Asia,High income: nonOECD,1.1400000000000001,6.429604516129031
2017,Mongolia,6,6,NA,37,12,0,42,1,1,NA,0,1,2,3,Bayarmagnai Gombodorj,Otgonbayar Uuye,93,15.5,0.5,MNG,65.41,4.32,98.64629,East Asia & Pacific,Lower middle income,1.4400000000000002,6.364276774193548
2017,Turkmenistan,6,6,NA,40,11,0,42,0,0,NA,0,0,2,4,Arslan Hojiyev,Orazmammet Annaorazov,93,15.5,0.3333333333333333,NA,NA,NA,NA,NA,NA,NA,NA
2017,Sweden,6,5,1,42,13,0,27,8,1,NA,0,1,2,3,Paul Vaderlind,Victor Ufnarovski,91,15.166666666666666,0.5,SWE,70.43,7.57,99.65887,Europe & Central Asia,High income: OECD,2.5233333333333334,6.570914505494505
2017,India,6,6,NA,42,18,0,30,0,0,NA,0,0,3,3,Chudamani R. Pranesachar,Vaibhav Vaish,90,15,0.5,IND,27.91,4.31,88.62945,South Asia,Lower middle income,1.4366666666666665,5.9086300000000005
2017,Slovenia,6,6,NA,42,16,0,32,0,0,NA,0,0,2,4,Gregor Dolinar,Veno Mramor,90,15,0.3333333333333333,SVN,79.27,4.78,99.65887,Europe & Central Asia,High income: OECD,2.39,6.643924666666666
2017,Portugal,6,5,1,39,19,0,28,3,0,NA,0,0,2,2,Joana Teles,António Salgueiro,89,14.833333333333334,0.3333333333333333,PRT,64.17,5.02,99.65887,Europe & Central Asia,High income: OECD,2.51,6.718575505617977
2017,Spain,6,6,NA,41,20,0,25,0,0,NA,0,0,3,2,María Gaspar,Marco Castrillón,86,14.333333333333334,0.5,ESP,91.89,4.21,NA,NA,NA,1.4033333333333333,NA
2017,Syria,6,6,NA,33,10,0,42,0,0,NA,0,1,0,5,Abdullatif Hanano,Imad Fattash,85,14.166666666666666,0.16666666666666666,NA,NA,NA,NA,NA,NA,NA,NA
2017,Latvia,6,5,1,39,8,0,24,13,0,NA,0,0,3,2,Filips Jeļisejevs,Agnese Zalcmane,84,14,0.5,LVA,88.06,4.37,99.65887,Europe & Central Asia,High income: nonOECD,1.4566666666666668,7.118490714285714
2017,Republic of Moldova,6,6,NA,38,11,0,27,7,0,NA,0,1,0,4,Valeriu Baltag,Valeriu Guțu,83,13.833333333333334,0.16666666666666666,NA,51.95,5.71,99.65887,Europe & Central Asia,Lower middle income,5.71,7.204255662650602
2017,Switzerland,6,6,NA,42,9,0,22,10,0,NA,0,0,1,5,Arnaud Maret,Paul Seidel,83,13.833333333333334,0.16666666666666666,CHE,62.46,5.02,99.65887,Europe & Central Asia,High income: OECD,5.02,7.204255662650602
2017,Colombia,6,3,3,41,2,0,35,3,0,NA,0,0,1,5,Maria Elizabeth Losada,Juan Carlos Basto,81,13.5,0.16666666666666666,COL,58.4,NA,98.65,Latin America & Caribbean,Upper middle income,NA,7.307407407407408
2017,South Africa,6,6,NA,41,7,0,27,6,0,NA,0,0,2,4,Liam Baker,Phil Labuschagne,81,13.5,0.3333333333333333,ZAF,21.42,5.6,95,Sub-Saharan Africa,Upper middle income,2.8,7.037037037037037
2017,Belgium,6,5,1,39,14,0,23,3,1,NA,0,1,2,2,Bart Windels,Philippe Niederkorn,80,13.333333333333334,0.5,BEL,80.77,6.43,NA,NA,NA,2.143333333333333,NA
2017,Ireland,6,4,2,36,8,0,34,2,0,NA,0,0,2,4,Mark Flanagan,Anca Mustata,80,13.333333333333334,0.3333333333333333,IRL,77.78,3.49,99.65887,Europe & Central Asia,High income: OECD,1.745,7.474415249999999
2017,Sri Lanka,6,5,1,42,8,0,30,0,0,NA,0,0,3,3,NA,Rusiru Rangika Gambheera Arachchige,80,13.333333333333334,0.5,LKA,17.95,2.59,99,NA,NA,0.8633333333333333,7.425
2017,Denmark,6,5,1,41,5,0,27,4,0,NA,0,0,1,5,Asbjørn Christian Nordentoft,Frederik Ravn Klausen,77,12.833333333333334,0.16666666666666666,DNK,81.32,7.12,99.65887,Europe & Central Asia,High income: OECD,7.12,7.765626233766233
2017,North Macedonia,6,4,2,35,6,0,36,0,0,NA,0,0,1,4,Alekso Malcheski,Velinov Daniel,77,12.833333333333334,0.16666666666666666,MKD,43.51,NA,NA,NA,NA,NA,NA
2017,Kyrgyzstan,6,6,NA,34,4,0,35,2,0,NA,0,0,2,3,Saltanat Saparalieva,Azamat Askarov,75,12.5,0.3333333333333333,NA,41.28,6.03,99.65887,Europe & Central Asia,Lower middle income,3.015,7.972709599999999
2017,Morocco,6,6,NA,37,13,0,25,0,0,NA,0,0,1,4,Mohamed Berraho,Mohamed El Ibbaoui,75,12.5,0.16666666666666666,MAR,33.74,4.74,93.59566,Middle East & North Africa,Lower middle income,4.74,7.487652799999999
2017,Slovakia,6,5,1,40,4,0,26,5,0,NA,0,0,1,5,Peter Novotný,Martin Vodička,75,12.5,0.16666666666666666,NA,49.13,3.93,NA,NA,NA,3.93,NA
2017,Austria,6,6,NA,40,5,0,15,14,0,NA,0,2,0,2,Robert Geretschläger,Heinrich Josef Gstöttner,74,12.333333333333334,0.3333333333333333,AUT,83.84,5.37,99.65887,Europe & Central Asia,High income: OECD,2.685,8.080448918918918
2017,Estonia,6,6,NA,40,14,0,16,2,0,NA,0,1,0,4,Urve Kangro,Sandra Schumann,72,12,0.16666666666666666,EST,72.14,4.96,99.65887,Europe & Central Asia,High income: OECD,4.96,8.304905833333333
2017,Norway,6,5,1,38,11,0,17,5,0,NA,0,0,2,3,Dávid Kunszenti-Kovács,Johannes Kleppe,71,11.833333333333334,0.3333333333333333,NOR,83.74,7.85,99.65887,Europe & Central Asia,High income: OECD,3.925,8.421876338028168
2017,Algeria,6,5,1,28,11,0,31,0,0,NA,0,0,1,4,Malik Talbi,Ali Atia,70,11.666666666666666,0.16666666666666666,DZA,49.38,5.73,NA,NA,NA,5.73,NA
2017,Lithuania,6,5,1,41,7,0,20,1,0,NA,0,0,2,3,Artūras Dubickas,Romualdas Kašuba,69,11.5,0.3333333333333333,LTU,68.39,3.81,99.65887,Europe & Central Asia,High income: nonOECD,1.905,8.665988695652173
2017,Uzbekistan,5,5,NA,16,18,0,35,0,0,NA,0,1,0,4,Shukhrat Ismailov,NA,69,13.8,0.2,UZB,8.65,5.03,99.65887,Europe & Central Asia,Lower middle income,5.03,7.221657246376811
2017,Albania,6,5,1,41,4,0,22,0,0,NA,0,0,1,5,Adrian Naço,Enkel Hysnelaj,67,11.166666666666666,0.16666666666666666,ALB,58.02,3.61,99.02,Europe & Central Asia,Upper middle income,3.61,8.867462686567164
2017,Chile,6,5,1,36,5,0,26,0,0,NA,0,0,1,4,Hernan Burgos,Mario Ponce,67,11.166666666666666,0.16666666666666666,CHL,89.92,5.43,99.02,Latin America & Caribbean,High income: OECD,5.43,8.867462686567164
2017,Ecuador,6,5,1,38,6,0,20,2,0,NA,0,0,1,4,Jorge Chamaidan,Hugo Peña,66,11,0.16666666666666666,ECU,NA,4.61,97.54,Latin America & Caribbean,Upper middle income,4.61,8.867272727272727
2017,Tunisia,5,5,NA,28,3,0,28,0,0,NA,0,0,1,3,Mohsen Ben Ahmed Ben Abdallah,Mourad Khecharem,59,11.8,0.2,TUN,31.02,NA,93.59566,Middle East & North Africa,Upper middle income,NA,7.931835593220338
2017,Venezuela,5,2,3,29,4,0,24,2,0,NA,0,0,2,2,Rafael Sánchez,José Nieto,59,11.8,0.4,NA,NA,NA,NA,NA,NA,NA,NA
2017,Costa Rica,6,5,1,34,1,0,23,0,0,NA,0,0,0,5,Jeremías Ramírez Jiménez,Juleana Lucia Villegas Segura,58,9.666666666666666,0,CRI,54.46,7.07,98.47008,Latin America & Caribbean,Upper middle income,NA,10.18656
2017,Pakistan,6,6,NA,23,6,0,29,0,0,NA,0,0,1,3,Sarfraz Ahmad,Kashif Ali,58,9.666666666666666,0.16666666666666666,PAK,8.8,2.14,75,South Asia,Lower middle income,2.14,7.758620689655173
2017,El Salvador,4,4,NA,25,5,0,25,2,0,NA,0,0,1,3,Gabriel Alexander Chicas Reyes,Eduardo Arnoldo Aguilar Cañas,57,14.25,0.25,SLV,27.47,3.73,97.98,Latin America & Caribbean,Lower middle income,3.73,6.875789473684211
2017,Finland,6,6,NA,40,4,0,10,1,1,NA,0,0,0,6,Lauri Hallila,Otte Heinävaara,56,9.333333333333334,0,FIN,90.7,6.36,99.65887,Europe & Central Asia,High income: OECD,NA,10.67773607142857
2017,Kosovo,5,3,2,29,1,0,22,2,1,NA,0,0,1,2,Faton Berisha,Eliot Bytyçi,55,11,0.2,NA,NA,NA,NA,NA,NA,NA,NA
2017,Puerto Rico,5,4,1,33,3,0,19,0,0,NA,0,0,0,4,Luis Fernando Cáceres Duque,Omar Colón Reyes,55,11,0,PRI,NA,NA,92,Latin America & Caribbean,High income: nonOECD,NA,8.363636363636363
2017,Nigeria,4,4,NA,21,5,0,25,0,0,NA,0,0,0,4,Stephen Ejuggwu Onah,Steve Dele Oluwaniyi,51,12.75,0,NGA,11.58,0.4,75.53063,Sub-Saharan Africa,Lower middle income,NA,5.923970980392157
2017,Paraguay,6,5,1,35,1,0,12,0,0,NA,0,0,0,2,Roberto Daniel Filizzola Ortiz,Stefania Yuliana Viterbori Ugarte,48,8,0,PRY,NA,3.09,98.26,Latin America & Caribbean,Lower middle income,NA,12.2825
2017,Iceland,6,6,NA,31,5,0,9,0,0,NA,0,0,0,3,Marteinn Þór Harðarson,Jóhanna Katrín Eggertsdóttir,45,7.5,0,ISL,71.34,7.58,99.65887,Europe & Central Asia,High income: OECD,NA,13.287849333333332
2017,Luxembourg,6,5,1,27,1,0,15,2,0,NA,0,0,1,1,Charles Leytem,Pascal Zeihen,45,7.5,0.16666666666666666,LUX,19.6,3.49,99.65887,Europe & Central Asia,High income: OECD,3.49,13.287849333333332
2017,Nicaragua,4,4,NA,17,4,0,22,1,0,NA,0,0,1,2,Ricardo Largaespada,Ervin Ramirez,44,11,0.25,NIC,NA,4.36,98.47008,Latin America & Caribbean,Lower middle income,4.36,8.951825454545455
2017,Uruguay,6,6,NA,37,0,0,6,0,0,NA,0,0,0,3,Leonardo Lois Da Silva,Nelson Chocca,43,7.166666666666667,0,URY,59.75,4.42,98.93,NA,NA,NA,13.804186046511628
2017,Montenegro,4,3,1,21,4,0,10,7,0,NA,0,0,1,2,Zana Kovijanic-Vukicevic,Gojko Jelovac,42,10.5,0.25,MNE,60.91,NA,99.65887,Europe & Central Asia,Upper middle income,NA,9.491320952380951
2017,Bolivia,6,5,1,24,0,0,17,0,0,NA,0,0,0,4,Jimmy Santamaria Torrez,Patricia Claudia Velasquez Garnica,41,6.833333333333333,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Liechtenstein,3,NA,3,19,0,0,3,0,0,NA,0,0,0,2,Louis Hainaut,Jana Cslovjecsek,22,7.333333333333333,0,LIE,35.62,NA,99.65887,Europe & Central Asia,High income: nonOECD,NA,13.589845909090908
2017,Uganda,6,5,1,6,5,0,11,0,0,NA,0,0,0,1,Jasper Okello,Namuddu Assumpta Kasamba,22,3.6666666666666665,0,UGA,NA,2.25,75.53063,Sub-Saharan Africa,Low income,NA,20.59926272727273
2017,Guatemala,4,3,1,12,0,0,6,2,0,NA,0,0,0,1,José Carlos Alberto Bonilla Aldana,William Roberto Gutiérrez Herrera,20,5,0,GTM,17.1,2.95,98.47008,Latin America & Caribbean,Lower middle income,NA,19.694015999999998
2017,Botswana,6,3,3,8,1,0,10,0,0,NA,0,0,0,1,Mmoloki Lekhutlile,Mathews Masole,19,3.1666666666666665,0,BWA,22.44,7.81,75.53063,Sub-Saharan Africa,Upper middle income,NA,23.851777894736845
2017,Myanmar,6,5,1,2,2,0,11,0,0,NA,0,0,0,1,Saw Win Maung,Htin Aung,15,2.5,0,MMR,NA,2.17,98.64629,East Asia & Pacific,Low income,NA,39.458515999999996
2017,Panama,1,1,NA,7,3,0,5,0,0,NA,0,0,0,1,NA,Pablo Jaen,15,15,0,PAN,NA,3.49,99.07,Latin America & Caribbean,Upper middle income,NA,6.604666666666666
2017,Trinidad and Tobago,1,1,NA,7,1,0,7,0,0,NA,0,0,0,1,Indra Haraksingh,NA,15,15,0,TTO,NA,3.53,98.47008,Latin America & Caribbean,High income: nonOECD,NA,6.564672
2017,Cuba,1,1,NA,5,1,0,7,0,0,NA,0,0,0,1,Nelson Tomás Hernández Reyes,NA,13,13,0,CUB,40.43,NA,98.47008,Latin America & Caribbean,Upper middle income,NA,7.574621538461538
2017,Iraq,4,4,NA,11,0,0,2,0,0,NA,0,0,0,1,Ramazan Ince,Fatih Emre Tokyay,13,3.25,0,IRQ,NA,NA,94,Middle East & North Africa,Upper middle income,NA,28.923076923076923
2017,Honduras,2,2,NA,6,0,0,6,0,0,NA,0,0,0,0,José Alberto Fajardo Tejada,Devis Moises Alvarado Zavala,12,6,0,HND,24.46,5.74,98.47008,Latin America & Caribbean,Lower middle income,NA,16.41168
2017,Cambodia,6,5,1,1,0,0,10,0,0,NA,0,0,0,1,Kamerane Meak,Karim Ham,11,1.8333333333333333,0,KHM,15.07,2.1,NA,NA,NA,NA,NA
2017,Ivory Coast,6,5,1,2,2,0,7,0,0,NA,0,0,0,0,Adama Coulibaly,Aboubacar Camara,11,1.8333333333333333,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Kenya,6,4,2,3,0,0,3,2,0,NA,0,0,0,0,James Katende,Jared Ongaro,8,1.3333333333333333,0,KEN,11.89,4.27,75.53063,Sub-Saharan Africa,Low income,NA,56.6479725
2017,Ghana,1,1,NA,5,0,0,1,0,0,NA,0,0,0,0,Brian Basham,Mawuenyega Dogoe,6,6,0,GHA,16.37,3.19,87.78,Sub-Saharan Africa,Lower middle income,NA,14.63
2017,Tanzania,2,2,NA,4,0,0,1,0,0,NA,0,0,0,0,Ertugrul Tarhan,Mahadevan Koipallil,5,2.5,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Egypt,3,3,NA,2,0,0,1,0,0,NA,0,0,0,0,Ahmed Radwan,NA,3,1,0,NA,33.16,NA,88,Middle East & North Africa,Lower middle income,NA,88
2017,Nepal,6,6,NA,0,1,0,2,0,0,NA,0,0,0,0,Deepak Bastola,Pitambar Acharya,3,0.5,0,NPL,12.11,3.53,88.62945,South Asia,Low income,NA,177.2589
2016,United States of America,6,6,NA,37,42,27,42,41,25,NA,6,0,0,0,Po-Shen Loh,Razvan Gelca,214,35.666666666666664,1,NA,88.84,4.78,NA,North America,High income: OECD,0.7966666666666667,NA
2016,Republic of Korea,6,6,NA,42,41,23,42,33,26,NA,4,2,0,0,Yongjin Song,Bo-Hae Im,207,34.5,1,NA,93.66,4.33,98.61837,East Asia & Pacific,High income: OECD,0.7216666666666667,2.8585034782608694
2016,People's Republic of China,6,6,NA,42,30,20,42,42,28,NA,4,2,0,0,Bin Xiong,Qiusheng Li,204,34,1,NA,NA,NA,NA,NA,NA,NA,NA
2016,Singapore,6,6,NA,42,42,11,39,42,20,NA,4,2,0,0,Yan Loi Wong,Lixing Zong,196,32.666666666666664,1,SGP,83.94,2.87,100,East Asia & Pacific,High income: nonOECD,0.47833333333333333,3.0612244897959187
2016,Taiwan,6,6,NA,42,37,7,38,30,21,NA,3,3,0,0,Yen-Chi Roger Lin,John Meng Kai Hong,175,29.166666666666668,1,NA,NA,NA,NA,NA,NA,NA,NA
2016,Democratic People's Republic of Korea,6,6,NA,41,30,2,42,31,22,NA,2,4,0,0,Yong Chol Ham,Kwang Nam O,168,28,1,NA,NA,NA,NA,NA,NA,NA,NA
2016,Russian Federation,6,6,NA,42,28,10,41,37,7,NA,4,1,1,0,Nazar Agakhanov,Dmitry Tereshin,165,27.5,1,RUS,83.86,3.76,99.6416,Europe & Central Asia,High income: nonOECD,0.6266666666666666,3.623330909090909
2016,United Kingdom,6,6,NA,35,36,4,41,28,21,NA,2,4,0,0,Geoff Smith,Dominic Yeo,165,27.5,1,NA,NA,NA,NA,NA,NA,NA,NA
2016,Hong Kong,6,5,1,42,34,0,42,34,9,NA,3,2,1,0,Kin Yin Li,Cesar Jose Alaban,161,26.833333333333332,1,NA,NA,NA,NA,NA,NA,NA,NA
2016,Japan,6,6,NA,39,35,2,42,20,18,NA,1,4,1,0,Yasuo Morita,Keiko Tasaki,156,26,1,JPN,63.19,3.15,98.61837,East Asia & Pacific,High income: OECD,0.525,3.7930142307692307
2016,Vietnam,6,6,NA,42,30,1,40,33,5,NA,1,4,1,0,Anh Vinh Lê,Bá Khánh Trình Lê,151,25.166666666666668,1,NA,NA,NA,NA,NA,NA,NA,NA
2016,Canada,6,5,1,36,27,3,42,30,10,NA,2,2,1,1,Robert Morewood,Hunter Spink,148,24.666666666666668,0.8333333333333334,CAN,69.51,4.82,NA,North America,High income: OECD,0.9640000000000001,NA
2016,Thailand,6,6,NA,42,18,0,42,26,20,NA,2,2,1,1,Wittawat Kositwattanarerk,Dungjade Shiowattana,148,24.666666666666668,0.8333333333333334,THA,49.51,3.77,97.49,NA,NA,0.754,3.9522972972972967
2016,Hungary,6,5,1,42,28,2,41,19,13,NA,1,3,2,0,József Pelikán,Sándor Dobos,145,24.166666666666668,1,HUN,49.48,4.62,99.6416,Europe & Central Asia,Upper middle income,0.77,4.123100689655172
2016,Brazil,6,6,NA,42,25,0,42,16,13,NA,0,5,1,0,Nicolau C. Saldanha,Samuel Barbosa Feitosa,138,23,1,BRA,48.33,6.31,99.07,NA,NA,1.0516666666666665,4.307391304347826
2016,Italy,6,6,NA,41,28,2,38,22,7,NA,1,3,0,2,Massimo Gobbino,Davide Lombardo,138,23,0.6666666666666666,ITA,61.36,3.82,99.6416,Europe & Central Asia,High income: OECD,0.955,4.332243478260869
2016,Philippines,6,6,NA,40,28,0,42,12,11,NA,2,2,0,2,Richard Eden,Louie John Vallejo,133,22.166666666666668,0.6666666666666666,PHL,40.49,3.3,98.61837,East Asia & Pacific,Lower middle income,0.825,4.44894902255639
2016,Bulgaria,6,5,1,42,13,3,42,18,14,NA,0,3,3,0,Peter Boyvalenkov,Emil Kolev,132,22,1,BGR,80.64,3.39,99.6416,Europe & Central Asia,Upper middle income,0.5650000000000001,4.529163636363636
2016,Germany,6,5,1,40,29,7,42,10,3,NA,0,3,3,0,Jürgen Prestin,Eric Müller,131,21.833333333333332,1,DEU,67.95,4.84,99.6416,Europe & Central Asia,High income: OECD,0.8066666666666666,4.563737404580153
2016,Indonesia,6,6,NA,42,17,0,42,21,8,NA,0,3,3,0,Aleams Barra,Hery Susanto,130,21.666666666666668,1,IDN,35.48,1.21,100,East Asia & Pacific,Lower middle income,0.20166666666666666,4.615384615384615
2016,Romania,6,6,NA,42,30,1,39,16,2,NA,0,5,1,0,Radu Gologan,Cătălin-Liviu Gherghe,130,21.666666666666668,1,ROU,49.91,3.03,99.6416,Europe & Central Asia,Upper middle income,0.505,4.598843076923076
2016,Israel,6,6,NA,42,9,9,34,27,6,NA,0,3,3,0,Dan Carmon,Amos Onn,127,21.166666666666668,1,ISR,60.45,5.8,93.01966,Middle East & North Africa,High income: OECD,0.9666666666666667,4.394629606299213
2016,Mexico,6,5,1,42,22,0,39,6,17,NA,0,4,1,1,Rogelio Valdez,Marco Antonio Figueroa Ibarra,126,21,0.8333333333333334,MEX,38.59,4.76,98.6,NA,NA,0.952,4.6952380952380945
2016,Islamic Republic of Iran,6,6,NA,42,16,3,42,18,4,NA,0,3,3,0,Omid Hatami,Mohsen Jamaali,125,20.833333333333332,1,NA,NA,NA,NA,NA,NA,NA,NA
2016,Australia,6,5,1,42,23,2,42,10,5,NA,0,2,4,0,Angelo Di Pasquale,Andrew Elvey Price,124,20.666666666666668,1,AUS,119.68,5.43,NA,NA,NA,0.9049999999999999,NA
2016,France,6,5,1,41,21,1,39,15,7,NA,0,3,2,1,Jean-Louis Tu,Vincent Jugé,124,20.666666666666668,0.8333333333333334,FRA,64.73,5.41,99.6416,Europe & Central Asia,High income: OECD,1.082,4.821367741935483
2016,Peru,6,6,NA,42,18,0,42,21,1,NA,0,2,3,1,Jesús Zapata Samanez,Jorge Tipe Villanueva,124,20.666666666666668,0.8333333333333334,PER,73.33,3.81,98.94,Latin America & Caribbean,Upper middle income,0.762,4.787419354838709
2016,Kazakhstan,6,5,1,42,20,0,41,12,7,NA,1,1,3,1,Damir Yeliussizov,Anton Vassilyev,122,20.333333333333332,0.8333333333333334,KAZ,46.82,3.56,99.6416,Europe & Central Asia,Upper middle income,0.712,4.90040655737705
2016,Türkiye,6,5,1,42,21,1,42,11,4,NA,0,2,4,0,Azer Kerimov,Şahin Emrah,121,20.166666666666668,1,NA,103.72,4.63,100,NA,NA,0.7716666666666666,4.958677685950413
2016,Armenia,6,6,NA,42,16,0,41,11,8,NA,0,1,4,1,Tigran Margaryan,Smbat Gogyan,118,19.666666666666668,0.8333333333333334,ARM,51.75,2.76,100,Europe & Central Asia,Lower middle income,0.5519999999999999,5.084745762711864
2016,Croatia,6,6,NA,42,16,0,41,12,7,NA,0,1,4,1,Tonći Kokan,Nikola Adžaga,118,19.666666666666668,0.8333333333333334,HRV,69.59,4.9,99.6416,Europe & Central Asia,High income: nonOECD,0.9800000000000001,5.066522033898305
2016,Ukraine,6,5,1,42,13,0,42,21,0,NA,0,2,4,0,Bogdan Rublov,Andrii Pankov,118,19.666666666666668,1,UKR,77.04,5.01,99.6416,Europe & Central Asia,Lower middle income,0.835,5.066522033898305
2016,Mongolia,6,6,NA,42,22,0,42,8,1,NA,0,2,2,2,Bayarmagnai Gombodorj,Bayarjargal Batsukh,115,19.166666666666668,0.6666666666666666,MNG,66.98,5.2,98.61837,East Asia & Pacific,Lower middle income,1.3,5.145306260869565
2016,India,6,6,NA,37,17,2,37,13,7,NA,0,1,5,0,Prithwijit De,Udayan Prajapati,113,18.833333333333332,1,IND,27.3,4.26,90.29,South Asia,Lower middle income,0.71,4.794159292035399
2016,Bangladesh,6,6,NA,42,14,0,39,11,6,NA,0,1,3,2,Mahbubul Alam Majumdar,A A Munir Hasan,112,18.666666666666668,0.6666666666666666,BGD,17.4,2.22,92,NA,NA,0.555,4.928571428571428
2016,Belarus,6,5,1,41,11,1,42,17,0,NA,0,1,4,1,Igor Voronovich,Mikhail Karpuk,112,18.666666666666668,0.8333333333333334,BLR,94.76,4.95,99.6416,Europe & Central Asia,Upper middle income,0.99,5.337942857142856
2016,Czech Republic,6,6,NA,36,23,0,36,7,7,NA,0,2,1,2,Martin Panák,Pavel Calábek,109,18.166666666666668,0.5,NA,NA,NA,NA,NA,NA,NA,NA
2016,Sweden,6,4,2,30,17,0,36,16,10,NA,0,3,0,2,Paul Vaderlind,Victor Ufnarovski,109,18.166666666666668,0.5,SWE,68.31,7.62,99.6416,Europe & Central Asia,High income: OECD,2.54,5.48485871559633
2016,Macau,6,4,2,42,14,0,34,14,4,NA,1,1,0,4,Lung Yam Wan,Ieng Tak Leong,108,18,0.3333333333333333,NA,NA,NA,NA,NA,NA,NA,NA
2016,Serbia,6,6,NA,42,13,1,40,9,1,NA,0,1,4,1,Dušan Đukić,Marko Radovanović,106,17.666666666666668,0.8333333333333334,SRB,62.91,3.63,100,Europe & Central Asia,Upper middle income,0.726,5.660377358490566
2016,Saudi Arabia,6,5,1,42,8,1,42,11,0,NA,0,0,4,2,Fawzi Al-Thukair,Abdulrahman Alguwaizani,104,17.333333333333332,0.6666666666666666,SAU,64.66,NA,93.01966,Middle East & North Africa,High income: nonOECD,NA,5.366518846153847
2016,Poland,6,6,NA,38,10,1,37,16,0,NA,0,2,2,2,Michał Pilipczuk,Joanna Ochremiak,102,17,0.6666666666666666,POL,69.85,4.66,99.6416,Europe & Central Asia,High income: OECD,1.165,5.861270588235294
2016,Switzerland,6,5,1,29,22,0,34,14,0,NA,0,1,4,0,Arnaud Maret,Cyril Jonas Frei,99,16.5,0.8333333333333334,CHE,61.19,4.98,99.6416,Europe & Central Asia,High income: OECD,0.9960000000000001,6.038884848484848
2016,Netherlands,6,6,NA,36,15,0,36,11,0,NA,0,0,3,3,Julian Lyczak,Birgit van Dalen,98,16.333333333333332,0.5,NA,NA,NA,NA,NA,NA,NA,NA
2016,Bosnia and Herzegovina,6,3,3,42,9,0,42,4,0,NA,0,0,4,2,Jelena Radović,Sead Delalić,97,16.166666666666668,0.6666666666666666,BIH,48.67,4.26,99.6416,Europe & Central Asia,Upper middle income,1.065,6.163397938144329
2016,Austria,6,6,NA,33,3,0,37,6,10,NA,0,0,3,3,Robert Geretschläger,Stefan Leopoldseder,89,14.833333333333334,0.5,AUT,82.85,5.48,99.6416,Europe & Central Asia,High income: OECD,1.8266666666666669,6.717411235955056
2016,Portugal,6,6,NA,36,12,0,34,6,0,NA,0,0,1,5,Joana Teles,António Salgueiro,88,14.666666666666666,0.16666666666666666,PRT,63.27,4.77,99.6416,Europe & Central Asia,High income: OECD,4.77,6.793745454545455
2016,Syria,6,5,1,41,8,0,28,10,0,NA,0,0,3,3,Abdullatif Hanano,Emad Alazeb,87,14.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA
