"Region","Country","Target","Indicator Number","Indicator Name","Year","Value","Metadata"
"SDG: Latin America and the Caribbean","Dominican Republic","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2018","85.33","SOURCE: ECLAC based on Encuesta Nacional Continua de Fuerza de Trabajo  ENCFT, National, Annual"
"SDG: Latin America and the Caribbean","Dominican Republic","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","87.60","SOURCE: ECLAC based on Encuesta Nacional Continua de Fuerza de Trabajo  ENCFT, National, Annual"
"SDG: Latin America and the Caribbean","Dominican Republic","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2020","90.01","SOURCE: ECLAC based on Encuesta Nacional Continua de Fuerza de Trabajo  ENCFT, National, Annual"
"SDG: Latin America and the Caribbean","Dominican Republic","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2021","91.05","SOURCE: ECLAC based on Encuesta Nacional Continua de Fuerza de Trabajo  ENCFT, National, Annual"
"SDG: Latin America and the Caribbean","Dominican Republic","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2022","88.83","SOURCE: ECLAC based on Encuesta Nacional Continua de Fuerza de Trabajo  ENCFT, National, Annual"
"SDG: Northern Africa and Western Asia","Algeria","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2013","56.50","SOURCE: Algeria MICS 2012-13. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above."
"SDG: Northern Africa and Western Asia","Algeria","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","73.24","SOURCE: Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above."
"SDG: Latin America and the Caribbean","Ecuador","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2013","85.77","SOURCE: ECLAC based on Encuesta de Empleo, Subempleo y Desempleo en el Area Urbana y Rural, National, December"
"SDG: Latin America and the Caribbean","Ecuador","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2014","86.98","SOURCE: ECLAC based on Encuesta de Empleo, Subempleo y Desempleo en el Area Urbana y Rural, National, December"
"SDG: Latin America and the Caribbean","Ecuador","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2015","88.73","SOURCE: ECLAC based on Encuesta de Empleo, Subempleo y Desempleo en el Area Urbana y Rural, National, December"
"SDG: Latin America and the Caribbean","Ecuador","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2016","90.34","SOURCE: ECLAC based on Encuesta de Empleo, Subempleo y Desempleo en el Area Urbana y Rural, National, December"
"SDG: Latin America and the Caribbean","Ecuador","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2017","90.77","SOURCE: ECLAC based on Encuesta de Empleo, Subempleo y Desempleo en el Area Urbana y Rural, National, December"
"SDG: Latin America and the Caribbean","Ecuador","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2018","91.46","SOURCE: ECLAC based on Encuesta de Empleo, Subempleo y Desempleo en el Area Urbana y Rural, National, December"
"SDG: Latin America and the Caribbean","Ecuador","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","90.54","SOURCE: ECLAC based on Encuesta de Empleo, Subempleo y Desempleo en el Area Urbana y Rural, National, December"
"SDG: Latin America and the Caribbean","Ecuador","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2020","92.41","SOURCE: ECLAC based on Encuesta de Empleo, Subempleo y Desempleo en el Area Urbana y Rural, National, December"
"SDG: Latin America and the Caribbean","Ecuador","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2021","93.21","SOURCE: ECLAC based on Encuesta de Empleo, Subempleo y Desempleo en el Area Urbana y Rural, National, December"
"SDG: Latin America and the Caribbean","Ecuador","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2022","93.17","SOURCE: ECLAC based on Encuesta Nacional de Empleo, Desempleo y Subempleo (ENEMDU), National, Annual"
"SDG: Northern Africa and Western Asia","Egypt","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2014","80.25","SOURCE: Egypt DHS 2014. The survey collected data on school attendance for age 6-24 and educational attainment for age 6 and above."
"SDG: Northern Africa and Western Asia","Egypt","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2015","81.71","SOURCE: Egypt HIECS 2015 (GEMR)."
"SDG: Northern Africa and Western Asia","Egypt","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2017","84.06","SOURCE: Egypt HIECS 2017 (GEMR)."
"SDG: Europe and Northern America","Spain","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2013","87.18","SOURCE: Spain EU-LFS 2013 (GEMR)."
"SDG: Europe and Northern America","Spain","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2014","93.59","SOURCE: Spain EU-LFS 2014 (GEMR)."
"SDG: Europe and Northern America","Spain","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2015","95.05","SOURCE: Spain EU-LFS 2015 (GEMR)."
"SDG: Europe and Northern America","Spain","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2016","94.29","SOURCE: Spain EU-LFS 2016 (GEMR)."
"SDG: Europe and Northern America","Spain","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2017","96.53","SOURCE: Spain EU-LFS 2017 (GEMR)."
"SDG: Europe and Northern America","Spain","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2018","95.75","SOURCE: Spain EU-LFS 2018 (GEMR)."
"SDG: Europe and Northern America","Spain","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","95.93","SOURCE: Spain EU-LFS 2019 (GEMR)."
"SDG: Europe and Northern America","Spain","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2020","96.84","SOURCE: Spain EU-LFS 2020 (GEMR)."
"SDG: Europe and Northern America","Spain","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2021","97.23","SOURCE: Spain EU-LFS 2021 (GEMR)."
"SDG: Europe and Northern America","Estonia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2013","98.19","SOURCE: Estonia EU-LFS 2013 (GEMR)."
"SDG: Europe and Northern America","Estonia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2014","99.13","SOURCE: Estonia EU-LFS 2014 (GEMR)."
"SDG: Europe and Northern America","Estonia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2015","98.82","SOURCE: Estonia EU-LFS 2015 (GEMR)."
"SDG: Europe and Northern America","Estonia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2016","98.95","SOURCE: Estonia EU-LFS 2016 (GEMR)."
"SDG: Europe and Northern America","Estonia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2017","99.07","SOURCE: Estonia EU-LFS 2017 (GEMR)."
"SDG: Europe and Northern America","Estonia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2018","98.90","SOURCE: Estonia EU-LFS 2018 (GEMR)."
"SDG: Europe and Northern America","Estonia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","99.03","SOURCE: Estonia EU-LFS 2019 (GEMR)."
"SDG: Europe and Northern America","Estonia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2020","98.48","SOURCE: Estonia EU-LFS 2020 (GEMR)."
"SDG: Europe and Northern America","Estonia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2021","99.49","SOURCE: Estonia EU-LFS 2021 (GEMR)."
"SDG: Sub-Saharan Africa","Ethiopia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2016","21.54","SOURCE: Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above."
"SDG: Sub-Saharan Africa","Ethiopia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","28.45","SOURCE: Ethiopian Socioeconomic Survey (ESS) 2018-19. The survey collected data on school attendance and educational attainment for age 4 and above."
"SDG: Europe and Northern America","Finland","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2013","99.71","SOURCE: Finland EU-LFS 2013 (GEMR)."
"SDG: Europe and Northern America","Finland","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2014","99.69","SOURCE: Finland EU-LFS 2014 (GEMR)."
"SDG: Europe and Northern America","Finland","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2015","98.57","SOURCE: Finland EU-LFS 2015 (GEMR)."
"SDG: Europe and Northern America","Finland","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2016","99.41","SOURCE: Finland EU-LFS 2016 (GEMR)."
"SDG: Europe and Northern America","Finland","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2017","99.29","SOURCE: Finland EU-LFS 2017 (GEMR)."
"SDG: Europe and Northern America","Finland","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2018","99.47","SOURCE: Finland EU-LFS 2018 (GEMR)."
"SDG: Europe and Northern America","Finland","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","99.30","SOURCE: Finland EU-LFS 2019 (GEMR)."
"SDG: Europe and Northern America","Finland","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2020","99.08","SOURCE: Finland EU-LFS 2020 (GEMR)."
"SDG: Europe and Northern America","Finland","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2021","99.54","SOURCE: Finland EU-LFS 2021 (GEMR)."
"SDG: Oceania","Fiji","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2021","88.99","SOURCE: Fiji MICS 2021. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above."
"SDG: Europe and Northern America","France","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2013","98.83","SOURCE: France EU-LFS 2013 (GEMR)."
"SDG: Europe and Northern America","France","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2014","98.47","SOURCE: France EU-LFS 2014 (GEMR)."
"SDG: Europe and Northern America","France","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2015","98.93","SOURCE: France EU-LFS 2015 (GEMR)."
"SDG: Europe and Northern America","France","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2016","98.69","SOURCE: France EU-LFS 2016 (GEMR)."
"SDG: Europe and Northern America","France","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2017","98.36","SOURCE: France EU-LFS 2017 (GEMR)."
"SDG: Europe and Northern America","France","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2018","98.82","SOURCE: France EU-LFS 2018 (GEMR)."
"SDG: Europe and Northern America","France","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","98.79","SOURCE: France EU-LFS 2019 (GEMR)."
"SDG: Europe and Northern America","France","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2020","98.15","SOURCE: France EU-LFS 2020 (GEMR)."
"SDG: Europe and Northern America","France","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2021","98.27","SOURCE: France EU-LFS 2021 (GEMR)."
"SDG: Sub-Saharan Africa","Gabon","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2021","44.86","SOURCE: Gabon DHS 2019-21. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above."
"SDG: Europe and Northern America","United Kingdom of Great Britain and Northern Ireland","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2013","99.40","SOURCE: United Kingdom of Great Britain and Northern Ireland EU-LFS 2013 (GEMR)."
"SDG: Europe and Northern America","United Kingdom of Great Britain and Northern Ireland","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2014","99.92","SOURCE: United Kingdom of Great Britain and Northern Ireland EU-LFS 2014 (GEMR)."
"SDG: Europe and Northern America","United Kingdom of Great Britain and Northern Ireland","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2015","99.95","SOURCE: United Kingdom of Great Britain and Northern Ireland EU-LFS 2015 (GEMR)."
"SDG: Europe and Northern America","United Kingdom of Great Britain and Northern Ireland","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2016","99.71","SOURCE: United Kingdom of Great Britain and Northern Ireland EU-LFS 2016 (GEMR)."
"SDG: Europe and Northern America","United Kingdom of Great Britain and Northern Ireland","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2017","99.41","SOURCE: United Kingdom of Great Britain and Northern Ireland EU-LFS 2017 (GEMR)."
"SDG: Europe and Northern America","United Kingdom of Great Britain and Northern Ireland","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2018","99.59","SOURCE: United Kingdom of Great Britain and Northern Ireland EU-LFS 2018 (GEMR)."
"SDG: Europe and Northern America","United Kingdom of Great Britain and Northern Ireland","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","99.59","SOURCE: United Kingdom of Great Britain and Northern Ireland EU-LFS 2019 (GEMR)."
"SDG: Northern Africa and Western Asia","Georgia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2013","98.65","SOURCE: Georgia HIES 2013 (GEMR)."
"SDG: Northern Africa and Western Asia","Georgia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2016","100.00","SOURCE: Georgia HIES 2016 (GEMR)."
"SDG: Northern Africa and Western Asia","Georgia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2018","97.70","SOURCE: Georgia MICS 2018. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above."
"SDG: Sub-Saharan Africa","Ghana","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2014","50.07","SOURCE: Ghana DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above."
"SDG: Sub-Saharan Africa","Ghana","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2017","47.39","SOURCE: Ghana MICS 2017-18. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above."
"SDG: Sub-Saharan Africa","Ghana","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2022","63.96","SOURCE: Ghana DHS 2022. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above."
"SDG: Sub-Saharan Africa","Guinea","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2016","32.95","SOURCE: Guinea MICS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above."
"SDG: Sub-Saharan Africa","Guinea","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2018","26.30","SOURCE: Guinea DHS 2018. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above."
"SDG: Sub-Saharan Africa","Gambia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2013","48.29","SOURCE: Gambia DHS 2013. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above."
"SDG: Sub-Saharan Africa","Gambia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2018","45.79","SOURCE: Gambia MICS 2018. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above."
"SDG: Sub-Saharan Africa","Gambia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2020","48.64","SOURCE: Gambia DHS 2019-20. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above."
"SDG: Sub-Saharan Africa","Guinea-Bissau","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2014","17.08","SOURCE: Guinea-Bissau MICS 2014. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above."
"SDG: Sub-Saharan Africa","Guinea-Bissau","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","30.83","SOURCE: Guinea-Bissau MICS 2019 (GEMR)."
"SDG: Europe and Northern America","Greece","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2013","96.67","SOURCE: Greece EU-LFS 2013 (GEMR)."
"SDG: Europe and Northern America","Greece","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2014","97.20","SOURCE: Greece EU-LFS 2014 (GEMR)."
"SDG: Europe and Northern America","Greece","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2015","97.81","SOURCE: Greece EU-LFS 2015 (GEMR)."
"SDG: Europe and Northern America","Greece","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2016","98.54","SOURCE: Greece EU-LFS 2016 (GEMR)."
"SDG: Europe and Northern America","Greece","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2017","97.56","SOURCE: Greece EU-LFS 2017 (GEMR)."
"SDG: Europe and Northern America","Greece","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2018","98.35","SOURCE: Greece EU-LFS 2018 (GEMR)."
"SDG: Europe and Northern America","Greece","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","98.52","SOURCE: Greece EU-LFS 2019 (GEMR)."
"SDG: Europe and Northern America","Greece","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2020","98.94","SOURCE: Greece EU-LFS 2020 (GEMR)."
"SDG: Europe and Northern America","Greece","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2021","98.12","SOURCE: Greece EU-LFS 2021 (GEMR)."
"SDG: Latin America and the Caribbean","Guatemala","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2014","48.88","SOURCE: ECLAC based on Encuesta Nacional de Condiciones de Vida  ENCOVI, National, Different periods"
"SDG: Latin America and the Caribbean","Guatemala","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2015","48.41","SOURCE: Guatemala DHS 2014-15. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above."
"SDG: Latin America and the Caribbean","Guatemala","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2022","57.23","SOURCE: Guatemala Encuesta Nacional de Empleo e Ingresos (ENEI) 2022. The survey collected data on school attendance and educational attainment for age 7 and above."
"SDG: Latin America and the Caribbean","Guyana","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2014","84.05","SOURCE: Guyana MICS 2014. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above."
"SDG: Latin America and the Caribbean","Guyana","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","83.02","SOURCE: Guyana MICS 2019-20. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above."
"SDG: Latin America and the Caribbean","Honduras","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2013","51.56","SOURCE: ECLAC based on Encuesta Permanente de Hogares de Propositos Multiples, National, May or June"
"SDG: Latin America and the Caribbean","Honduras","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2014","48.56","SOURCE: ECLAC based on Encuesta Permanente de Hogares de Propositos Multiples, National, May or June"
"SDG: Latin America and the Caribbean","Honduras","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2015","50.85","SOURCE: ECLAC based on Encuesta Permanente de Hogares de Propositos Multiples, National, May or June"
"SDG: Latin America and the Caribbean","Honduras","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2016","52.76","SOURCE: ECLAC based on Encuesta Permanente de Hogares de Propositos Multiples, National, May or June"
"SDG: Latin America and the Caribbean","Honduras","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2018","53.51","SOURCE: ECLAC based on Encuesta Permanente de Hogares de Propositos Multiples, National, May or June"
"SDG: Latin America and the Caribbean","Honduras","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","57.14","SOURCE: ECLAC based on Encuesta Permanente de Hogares de Propositos Multiples, National, May or June"
"SDG: Europe and Northern America","Croatia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2013","98.97","SOURCE: Croatia EU-LFS 2013 (GEMR)."
"SDG: Europe and Northern America","Croatia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2014","98.86","SOURCE: Croatia EU-LFS 2014 (GEMR)."
"SDG: Europe and Northern America","Croatia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2015","98.76","SOURCE: Croatia EU-LFS 2015 (GEMR)."
"SDG: Europe and Northern America","Croatia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2016","98.77","SOURCE: Croatia EU-LFS 2016 (GEMR)."
"SDG: Europe and Northern America","Croatia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2017","99.01","SOURCE: Croatia EU-LFS 2017 (GEMR)."
"SDG: Europe and Northern America","Croatia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2018","99.04","SOURCE: Croatia EU-LFS 2018 (GEMR)."
"SDG: Europe and Northern America","Croatia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","98.60","SOURCE: Croatia EU-LFS 2019 (GEMR)."
"SDG: Europe and Northern America","Croatia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2020","98.35","SOURCE: Croatia EU-LFS 2020 (GEMR)."
"SDG: Europe and Northern America","Croatia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2021","99.57","SOURCE: Croatia EU-LFS 2021 (GEMR)."
"SDG: Latin America and the Caribbean","Haiti","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2017","34.54","SOURCE: Haiti DHS 2016-17. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above."
"SDG: Europe and Northern America","Hungary","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2013","98.65","SOURCE: Hungary EU-LFS 2013 (GEMR)."
"SDG: Europe and Northern America","Hungary","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2014","98.88","SOURCE: Hungary EU-LFS 2014 (GEMR)."
"SDG: Europe and Northern America","Hungary","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2015","98.87","SOURCE: Hungary EU-LFS 2015 (GEMR)."
"SDG: Europe and Northern America","Hungary","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2016","98.89","SOURCE: Hungary EU-LFS 2016 (GEMR)."
"SDG: Europe and Northern America","Hungary","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2017","98.59","SOURCE: Hungary EU-LFS 2017 (GEMR)."
"SDG: Europe and Northern America","Hungary","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2018","98.47","SOURCE: Hungary EU-LFS 2018 (GEMR)."
"SDG: Europe and Northern America","Hungary","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","98.04","SOURCE: Hungary EU-LFS 2019 (GEMR)."
"SDG: Europe and Northern America","Hungary","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2020","98.41","SOURCE: Hungary EU-LFS 2020 (GEMR)."
"SDG: Europe and Northern America","Hungary","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2021","98.41","SOURCE: Hungary EU-LFS 2021 (GEMR)."
"SDG: Eastern and South-Eastern Asia","Indonesia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2017","85.93","SOURCE: Indonesia DHS 2017. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above."
"SDG: Central and Southern Asia","India","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2016","81.00","SOURCE: India DHS 2015-16. The survey collected data on school attendance for age 5-18 and educational attainment for age 5 and above."
"SDG: Central and Southern Asia","India","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","85.76","SOURCE: India National Family Health Survey (NFHS) 2019-21. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above."
"SDG: Northern Africa and Western Asia","Iraq","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2018","46.43","SOURCE: Iraq MICS 2018. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above."
"SDG: Northern Africa and Western Asia","Israel","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2013","98.50","SOURCE: Israel HES 2013 (GEMR)."
"SDG: Northern Africa and Western Asia","Israel","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2015","98.79","SOURCE: Israel HES 2015 (GEMR)."
"SDG: Northern Africa and Western Asia","Israel","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2017","98.66","SOURCE: Israel HES 2017 (GEMR)."
"SDG: Northern Africa and Western Asia","Israel","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2018","98.86","SOURCE: Israel HES 2018 (GEMR)."
"SDG: Europe and Northern America","Italy","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2013","98.95","SOURCE: Italy EU-LFS 2013 (GEMR)."
"SDG: Europe and Northern America","Italy","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2014","98.73","SOURCE: Italy EU-LFS 2014 (GEMR)."
"SDG: Europe and Northern America","Italy","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2015","98.65","SOURCE: Italy EU-LFS 2015 (GEMR)."
"SDG: Europe and Northern America","Italy","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2016","98.96","SOURCE: Italy EU-LFS 2016 (GEMR)."
"SDG: Europe and Northern America","Italy","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2017","99.08","SOURCE: Italy EU-LFS 2017 (GEMR)."
"SDG: Europe and Northern America","Italy","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2018","99.01","SOURCE: Italy EU-LFS 2018 (GEMR)."
"SDG: Europe and Northern America","Italy","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","99.20","SOURCE: Italy EU-LFS 2019 (GEMR)."
"SDG: Europe and Northern America","Italy","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2020","99.28","SOURCE: Italy EU-LFS 2020 (GEMR)."
"SDG: Europe and Northern America","Italy","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2021","99.38","SOURCE: Italy EU-LFS 2021 (GEMR)."
"SDG: Latin America and the Caribbean","Jamaica","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2021","98.20","SOURCE: Jamaica Labour Force Survey 2021. The survey collected data on educational attainment for age 14 and above."
"SDG: Latin America and the Caribbean","Jamaica","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2022","95.43","SOURCE: Jamaica MICS 2022. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above."
"SDG: Northern Africa and Western Asia","Jordan","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2013","92.74","SOURCE: Jordan HEIS 2013 (GEMR)."
"SDG: Northern Africa and Western Asia","Jordan","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2017","87.06","SOURCE: Jordan DHS 2017-18. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above."
"SDG: Central and Southern Asia","Kazakhstan","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2015","99.75","SOURCE: Kazakhstan MICS 2015. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above."
"SDG: Central and Southern Asia","Kazakhstan","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","97.35","SOURCE: Kazakhstan Global Adult Tobacco Survey (GATS) 2019. The survey collected data on educational attainment for age 15 and above."
"SDG: Sub-Saharan Africa","Kenya","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2014","70.51","SOURCE: Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above."
"SDG: Sub-Saharan Africa","Kenya","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","72.00","SOURCE: Kenya Continuous Household Survey Programme (KCHSP) 2019. The survey collected data on school attendance and attainment for age 3 and above."
"SDG: Sub-Saharan Africa","Kenya","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2020","71.41","SOURCE: Kenya Continuous Household Survey Programme (KCHSP) 2020. The survey collected data on school attendance and attainment for age 3 and above."
